Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Assessment,Chrome 106.0.0.0,,,2022-10-15 07:05:04,2022-10-15 07:07:25,2m - 20.911s,FAILED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 07:05:05,2022-10-15 07:06:21,1m - 16.649s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 07:05:05,2022-10-15 07:05:42,36.978s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 07:05:42,2022-10-15 07:05:42,0.173s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 07:05:42,2022-10-15 07:05:43,1.074s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 07:05:43,2022-10-15 07:05:44,1.044s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 07:05:44,2022-10-15 07:05:45,0.699s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 07:05:45,2022-10-15 07:05:55,10.037s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 07:05:55,2022-10-15 07:05:55,0.371s,PASSED
delay(3),Chrome 106.0.0.0,,,2022-10-15 07:05:55,2022-10-15 07:05:58,3.016s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 10)",Chrome 106.0.0.0,,,2022-10-15 07:05:58,2022-10-15 07:06:21,22.974s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assessment,Chrome 106.0.0.0,,,2022-10-15 07:06:21,2022-10-15 07:07:25,1m - 4.035s,FAILED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 07:06:21,2022-10-15 07:06:23,1.574s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 07:06:23,2022-10-15 07:06:28,4.668s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Asesmen Create Test"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 07:06:28,2022-10-15 07:06:39,11.054s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 07:06:39,2022-10-15 07:06:39,0.692s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_1""))",Chrome 106.0.0.0,,,2022-10-15 07:06:39,2022-10-15 07:06:50,10.919s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_1""))",Chrome 106.0.0.0,,,2022-10-15 07:06:50,2022-10-15 07:06:51,0.480s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_2""))",Chrome 106.0.0.0,,,2022-10-15 07:06:51,2022-10-15 07:06:51,0.363s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""SDM"")",Chrome 106.0.0.0,,,2022-10-15 07:06:51,2022-10-15 07:06:53,2.329s,PASSED
"sendKeys(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), Keys.chord(ENTER))",Chrome 106.0.0.0,,,2022-10-15 07:06:53,2022-10-15 07:06:54,0.355s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Direktorat SDM dan Umum""))",Chrome 106.0.0.0,,,2022-10-15 07:06:54,2022-10-15 07:07:25,31.363s,FAILED
