Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Assessment,Chrome 106.0.0.0,,,2022-10-15 13:46:03,2022-10-15 13:47:35,1m - 32.109s,FAILED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 13:46:03,2022-10-15 13:47:14,1m - 10.837s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 13:46:04,2022-10-15 13:46:48,44.109s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 13:46:48,2022-10-15 13:46:48,0.230s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 13:46:48,2022-10-15 13:46:50,1.353s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 13:46:50,2022-10-15 13:46:51,1.181s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 13:46:51,2022-10-15 13:46:52,0.792s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 13:46:52,2022-10-15 13:47:02,10.056s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 13:47:02,2022-10-15 13:47:02,0.461s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 13:47:02,2022-10-15 13:47:12,10.014s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 15)",Chrome 106.0.0.0,,,2022-10-15 13:47:12,2022-10-15 13:47:14,2.055s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assessment,Chrome 106.0.0.0,,,2022-10-15 13:47:14,2022-10-15 13:47:35,20.951s,FAILED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 13:47:15,2022-10-15 13:47:15,0.426s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 13:47:15,2022-10-15 13:47:26,10.924s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Asesmen Create Test"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 13:47:26,2022-10-15 13:47:27,0.823s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 13:47:27,2022-10-15 13:47:28,0.774s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_1""))",Chrome 106.0.0.0,,,2022-10-15 13:47:28,2022-10-15 13:47:28,0.463s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_1""))",Chrome 106.0.0.0,,,2022-10-15 13:47:28,2022-10-15 13:47:29,0.548s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_2""))",Chrome 106.0.0.0,,,2022-10-15 13:47:29,2022-10-15 13:47:29,0.658s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), ""SDM"")",Chrome 106.0.0.0,,,2022-10-15 13:47:29,2022-10-15 13:47:30,0.801s,PASSED
"sendKeys(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), Keys.chord(ENTER))",Chrome 106.0.0.0,,,2022-10-15 13:47:30,2022-10-15 13:47:31,0.762s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Pegawai""), ""Cri"")",Chrome 106.0.0.0,Search Employee SDM,,2022-10-15 13:47:31,2022-10-15 13:47:32,1.145s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/div_Kepala Divisi SDM  Cristiano Ronaldo   _a7a188""))",Chrome 106.0.0.0,Add Asesi,,2022-10-15 13:47:32,2022-10-15 13:47:33,0.760s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/button_Tambah""))",Chrome 106.0.0.0,"Add Asesor
",,2022-10-15 13:47:33,2022-10-15 13:47:33,0.468s,PASSED
"setText(findTestObject(""Assessment Page/Page_Profesi.io/Search Atasan""), ""Kepala Bagian Perencanaan SDM"")",Chrome 106.0.0.0,,,2022-10-15 13:47:33,2022-10-15 13:47:35,1.908s,FAILED
