Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC003,Chrome 106.0.0.0,,,2022-10-15 15:33:19,2022-10-15 15:34:22,1m - 2.767s,PASSED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 15:33:20,2022-10-15 15:33:56,36.868s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 106.0.0.0,,,2022-10-15 15:33:20,2022-10-15 15:33:20,0.011s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 15:33:20,2022-10-15 15:33:32,11.508s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 15:33:32,2022-10-15 15:33:32,0.343s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 15:33:32,2022-10-15 15:33:33,1.461s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 15:33:33,2022-10-15 15:33:34,1.026s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 15:33:34,2022-10-15 15:33:35,0.748s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 15:33:35,2022-10-15 15:33:45,10.040s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 15:33:45,2022-10-15 15:33:46,0.386s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 15:33:46,2022-10-15 15:33:56,10.017s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 15)",Chrome 106.0.0.0,,,2022-10-15 15:33:56,2022-10-15 15:33:56,0.334s,PASSED
Start listener action : sampleAfterTestCase,Chrome 106.0.0.0,,,2022-10-15 15:33:56,2022-10-15 15:33:56,0.520s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assesment with disable fitur Lakukan Penilaian Diri Sendiri and enable fitur Aktifkan Fitur Komentar and Gunakan Skor dan Kategori,Chrome 106.0.0.0,,,2022-10-15 15:33:56,2022-10-15 15:34:22,25.502s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 106.0.0.0,,,2022-10-15 15:33:57,2022-10-15 15:33:57,0.003s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 15:33:57,2022-10-15 15:33:57,0.446s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 15:33:57,2022-10-15 15:34:00,2.162s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Create Assesment with disable fitur Lakukan Penilaian Diri Sendiri and enable fitur Aktifkan Fitur Komentar and Gunakan Skor dan Kategori"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 15:34:00,2022-10-15 15:34:01,1.678s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 15:34:01,2022-10-15 15:34:02,0.404s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_1""))",Chrome 106.0.0.0,,,2022-10-15 15:34:02,2022-10-15 15:34:02,0.428s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_1""))",Chrome 106.0.0.0,,,2022-10-15 15:34:02,2022-10-15 15:34:03,0.537s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_2""))",Chrome 106.0.0.0,,,2022-10-15 15:34:03,2022-10-15 15:34:03,0.421s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Disable Lakukan Penilaian Diri Sendiri""))",Chrome 106.0.0.0,,,2022-10-15 15:34:03,2022-10-15 15:34:03,0.439s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Disable Aktifkan Fitur Komentar""))",Chrome 106.0.0.0,,,2022-10-15 15:34:03,2022-10-15 15:34:04,0.489s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), ""SDM"")",Chrome 106.0.0.0,,,2022-10-15 15:34:04,2022-10-15 15:34:05,0.836s,PASSED
"sendKeys(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), Keys.chord(ENTER))",Chrome 106.0.0.0,,,2022-10-15 15:34:05,2022-10-15 15:34:05,0.664s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Pegawai""), ""Cri"")",Chrome 106.0.0.0,Search Employee SDM,,2022-10-15 15:34:05,2022-10-15 15:34:07,1.251s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/div_Kepala Divisi SDM  Cristiano Ronaldo   _a7a188""))",Chrome 106.0.0.0,Add Asesi,,2022-10-15 15:34:07,2022-10-15 15:34:08,0.809s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/button_Tambah""))",Chrome 106.0.0.0,"Add Asesor
",,2022-10-15 15:34:08,2022-10-15 15:34:08,0.531s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Button Atasan""), STOP_ON_FAILURE)",Chrome 106.0.0.0,,,2022-10-15 15:34:08,2022-10-15 15:34:09,1.309s,PASSED
