Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC001,Chrome 106.0.0.0,,,2022-10-15 15:29:12,2022-10-15 15:30:15,1m - 3.567s,PASSED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 15:29:12,2022-10-15 15:29:47,35.478s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 106.0.0.0,,,2022-10-15 15:29:12,2022-10-15 15:29:12,0.014s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 15:29:12,2022-10-15 15:29:23,10.541s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 15:29:23,2022-10-15 15:29:23,0.225s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 15:29:23,2022-10-15 15:29:24,1.262s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 15:29:24,2022-10-15 15:29:25,1.102s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 15:29:25,2022-10-15 15:29:26,0.736s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 15:29:26,2022-10-15 15:29:36,10.053s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 15:29:36,2022-10-15 15:29:37,0.389s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 15:29:37,2022-10-15 15:29:47,10.018s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 15)",Chrome 106.0.0.0,,,2022-10-15 15:29:47,2022-10-15 15:29:47,0.320s,PASSED
Start listener action : sampleAfterTestCase,Chrome 106.0.0.0,,,2022-10-15 15:29:47,2022-10-15 15:29:47,0.476s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assessment enable fitur Lakukan Penilaian Diri Sendiri and disable fitur Aktifkan Fitur Komentar and Gunakan Skor dan Kategori,Chrome 106.0.0.0,,,2022-10-15 15:29:47,2022-10-15 15:30:15,27.779s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 106.0.0.0,,,2022-10-15 15:29:47,2022-10-15 15:29:47,0.003s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 15:29:48,2022-10-15 15:29:48,0.393s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 15:29:48,2022-10-15 15:29:51,2.378s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Create Asesmen dengan enable fitur Lakukan Penilaian Diri Sendiri and disable fitur Aktifkan Fitur Komentar and Gunakan Skor dan Kategori"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 15:29:51,2022-10-15 15:29:52,1.430s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 15:29:52,2022-10-15 15:29:53,0.493s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_1""))",Chrome 106.0.0.0,,,2022-10-15 15:29:53,2022-10-15 15:29:53,0.379s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_1""))",Chrome 106.0.0.0,,,2022-10-15 15:29:53,2022-10-15 15:29:53,0.493s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_2""))",Chrome 106.0.0.0,,,2022-10-15 15:29:53,2022-10-15 15:29:54,0.363s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Disable Aktifkan Fitur Komentar""))",Chrome 106.0.0.0,,,2022-10-15 15:29:54,2022-10-15 15:29:54,0.397s,PASSED
"click(findTestObject(""Assessment Page/Page_Profesi.io/Disable Gunakan Skor dan Kategori Kesesuaian Kompetensi""))",Chrome 106.0.0.0,,,2022-10-15 15:29:54,2022-10-15 15:29:55,0.431s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), ""SDM"")",Chrome 106.0.0.0,,,2022-10-15 15:29:55,2022-10-15 15:29:55,0.760s,PASSED
"sendKeys(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Jabatan""), Keys.chord(ENTER))",Chrome 106.0.0.0,,,2022-10-15 15:29:55,2022-10-15 15:29:56,0.712s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/Search Daftar Pegawai""), ""Cri"")",Chrome 106.0.0.0,Search Employee SDM,,2022-10-15 15:29:56,2022-10-15 15:29:57,1.168s,PASSED
