Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Assessment,Chrome 106.0.0.0,,,2022-10-15 06:31:31,2022-10-15 06:33:38,2m - 7.000s,FAILED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 06:31:31,2022-10-15 06:32:40,1m - 8.773s,FAILED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 06:31:32,2022-10-15 06:32:13,40.427s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 06:32:13,2022-10-15 06:32:13,0.272s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 06:32:13,2022-10-15 06:32:15,1.884s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 06:32:15,2022-10-15 06:32:16,1.197s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 06:32:16,2022-10-15 06:32:17,0.899s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 06:32:17,2022-10-15 06:32:18,0.552s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 10)",Chrome 106.0.0.0,,,2022-10-15 06:32:18,2022-10-15 06:32:40,22.599s,FAILED
,,,,,,,
Test Cases/Assessment/Create Assessment,Chrome 106.0.0.0,,,2022-10-15 06:32:40,2022-10-15 06:33:38,57.656s,FAILED
"click(findTestObject(""Home Page/Create Assessment""))",Chrome 106.0.0.0,,,2022-10-15 06:32:41,2022-10-15 06:33:01,20.488s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 06:33:01,2022-10-15 06:33:02,0.741s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 06:33:02,2022-10-15 06:33:38,35.693s,FAILED
