Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create Assessment,Chrome 106.0.0.0,,,2022-10-15 14:34:07,2022-10-15 14:35:43,1m - 36.376s,FAILED
,,,,,,,
Test Cases/Login/Login,Chrome 106.0.0.0,,,2022-10-15 14:34:07,2022-10-15 14:34:48,40.776s,PASSED
"openBrowser(""https://dev-company.profesi.io/auth/login"")",Chrome 106.0.0.0,,,2022-10-15 14:34:08,2022-10-15 14:34:24,15.883s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 106.0.0.0,,,2022-10-15 14:34:24,2022-10-15 14:34:24,0.207s,PASSED
"setText(findTestObject(""Login/Input Email""), email)",Chrome 106.0.0.0,,,2022-10-15 14:34:24,2022-10-15 14:34:25,1.263s,PASSED
"setText(findTestObject(""Login/Input Password""), password)",Chrome 106.0.0.0,,,2022-10-15 14:34:25,2022-10-15 14:34:26,1.138s,PASSED
"click(findTestObject(""Login/Remember Me""))",Chrome 106.0.0.0,,,2022-10-15 14:34:26,2022-10-15 14:34:27,0.781s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 14:34:27,2022-10-15 14:34:37,10.064s,PASSED
"click(findTestObject(""Login/Button Login""))",Chrome 106.0.0.0,,,2022-10-15 14:34:37,2022-10-15 14:34:38,0.475s,PASSED
delay(10),Chrome 106.0.0.0,,,2022-10-15 14:34:38,2022-10-15 14:34:48,10.015s,PASSED
"verifyElementPresent(findTestObject(""Home Page/Profile""), 15)",Chrome 106.0.0.0,,,2022-10-15 14:34:48,2022-10-15 14:34:48,0.488s,PASSED
,,,,,,,
Test Cases/Assessment/Create Assessment,Chrome 106.0.0.0,,,2022-10-15 14:34:48,2022-10-15 14:35:43,55.234s,FAILED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/span_Buat Asesmen""))",Chrome 106.0.0.0,Button Create Assessment,,2022-10-15 14:34:49,2022-10-15 14:34:49,0.432s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""))",Chrome 106.0.0.0,"Input Name Assessment
",,2022-10-15 14:34:49,2022-10-15 14:34:53,4.216s,PASSED
"setText(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input_Email_vs-inputx vs-input--input norma_38a119""), ""Asesmen Create Test"")",Chrome 106.0.0.0,Name Assessment,,2022-10-15 14:34:53,2022-10-15 14:34:56,2.185s,PASSED
"click(findTestObject(""Object Repository/Assessment Page/Page_Profesi.io/input""))",Chrome 106.0.0.0,,,2022-10-15 14:34:56,2022-10-15 14:34:56,0.702s,PASSED
